#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.59,0.00
0.00,107.25,40.05,-0.59
0.00,23.83,136.44,29.55
0.00,-0.36,131.27,19.11
0.00,22.27,123.32,5.05
0.00,0.00,4.22,58.86
-0.49,5.28,-0.49,0.00
16.55,137.14,45.59,-0.49
84.59,173.42,82.24,36.01
42.10,35.85,218.30,69.07
55.75,1.97,0.54,160.99
-0.59,0.00,-0.59,63.31
-0.49,60.56,-0.59,0.00
2.21,162.70,20.26,-0.36
-0.20,216.43,25.00,20.20
274.62,241.78,153.33,199.81
24.96,12.59,-0.20,208.37
6.99,0.00,-0.67,156.39
10.08,-0.49,0.00,0.00
119.72,6.77,0.00,-0.39
125.51,13.97,0.00,24.12
218.44,16.38,0.00,38.87
-0.36,-0.49,0.00,81.74
16.93,0.00,0.00,-0.59
